ano,sigla_uf,rede,ensino,anos_escolares,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa,nota_saeb_media_padronizada,ideb,projecao
2005,DF,estadual,fundamental,finais (6-9),68.5,0.688631,248.42,236.25,4.7446551,3.3,
2005,DF,estadual,fundamental,iniciais (1-5),84.3,0.861,200.42,185.22,5.1617131,4.4,
2005,DF,estadual,medio,todos (1-4),64.1,0.64465803,282.79,265.69,4.638793,3,
2005,DF,privada,fundamental,finais (6-9),95.1,0.950454,298.85,279.98,6.3139248,6,
2005,DF,privada,fundamental,iniciais (1-5),98.7,0.988985,233.63,221.19,6.4446402,6.4,
2005,DF,privada,medio,todos (1-4),93.3,0.93498498,345.26,317.7,6.2946668,5.9,
2005,DF,publica,fundamental,finais (6-9),77.3,0.77365601,228,225.21,4.220252,3.3,
2005,DF,publica,fundamental,iniciais (1-5),84.3,0.861,200.42,185.22,5.1617131,4.4,
2005,DF,total,fundamental,finais (6-9),74.4,0.74651802,260.8,246.99,5.1300368,3.8,
2005,DF,total,fundamental,iniciais (1-5),87.2,0.887595,207.55,192.96,5.4384151,4.8,
2005,DF,total,medio,todos (1-4),70.7,0.71083802,297.82,278.22,5.0375209,3.6,
2005,ES,estadual,fundamental,finais (6-9),77.3,0.773049,247.75,227,4.5792971,3.5,
2005,ES,estadual,fundamental,iniciais (1-5),78.3,0.78278899,184.85,178.97,4.7500558,3.7,
2005,ES,estadual,medio,todos (1-4),70.8,0.71429199,269.07,257.57,4.3246799,3.1,
2005,ES,privada,fundamental,finais (6-9),95.2,0.95168602,300.2,274.05,6.237792,5.9,
2005,ES,privada,fundamental,iniciais (1-5),98.6,0.986983,232.92,218.82,6.387692,6.3,
2005,ES,privada,medio,todos (1-4),94.6,0.95816201,332.6,305.95,5.941319,5.7,
2005,ES,publica,fundamental,finais (6-9),77.8,0.77961802,240.58,227.08,4.4611902,3.5,
2005,ES,publica,fundamental,iniciais (1-5),82.4,0.845577,185.32,173.96,4.6677532,3.9,
2005,ES,total,fundamental,finais (6-9),79.9,0.80091298,249.94,234.46,4.7401571,3.8,
2005,ES,total,fundamental,iniciais (1-5),84.1,0.86118299,191.42,179.72,4.8893738,4.2,
2005,ES,total,medio,todos (1-4),75.1,0.80477601,282.39,267.72,4.6635318,3.8,
2005,GO,estadual,fundamental,finais (6-9),77.8,0.77842599,227.64,225.63,4.2212501,3.3,
2005,GO,estadual,fundamental,iniciais (1-5),89.1,0.89238602,178.33,165.24,4.3759398,3.9,
2005,GO,estadual,medio,todos (1-4),73.7,0.73947102,252.86,242.35,3.8688281,2.9,
2005,GO,privada,fundamental,finais (6-9),93.9,0.938963,276.17,261.76,5.6323352,5.3,
2005,GO,privada,fundamental,iniciais (1-5),97.1,0.97079599,217.47,205.71,5.8546128,5.7,
2005,GO,privada,medio,todos (1-4),90.9,0.93175799,342.73,311.76,6.1701069,5.7,
2005,GO,publica,fundamental,finais (6-9),68.7,0.69135797,248.42,236.25,4.7446551,3.3,
2005,GO,publica,fundamental,iniciais (1-5),84.8,0.85393399,179.16,170.47,4.4866552,3.8,
2005,GO,total,fundamental,finais (6-9),79.4,0.79441798,234.86,230.41,4.421133,3.5,
2005,GO,total,fundamental,iniciais (1-5),86.4,0.869681,185.02,175.86,4.6970959,4.1,
2005,GO,total,medio,todos (1-4),75.8,0.76661402,266.76,253.08,4.2248688,3.2,
2005,MA,estadual,fundamental,finais (6-9),80.2,0.80137998,219.58,219.72,3.9885449,3.2,
2005,MA,estadual,fundamental,iniciais (1-5),79.2,0.78204799,164.77,162.83,4.0729289,3.2,
2005,MA,estadual,medio,todos (1-4),71,0.75192899,229.94,222.61,3.2516661,2.4,
2005,MA,privada,fundamental,finais (6-9),93.8,0.938236,271.7,262.26,5.5660172,5.2,
2005,MA,privada,fundamental,iniciais (1-5),95.6,0.94346201,200.11,188.41,5.208714,4.9,
2005,MA,privada,medio,todos (1-4),91.6,0.91687101,294.57,282.94,5.06248,4.6,
2005,MA,publica,fundamental,finais (6-9),74.5,0.75113702,213.28,214.3,3.7934151,2.8,
2005,MA,publica,fundamental,iniciais (1-5),75.2,0.76678801,151.3,148.02,3.545821,2.7,
2005,MA,total,fundamental,finais (6-9),75.6,0.762012,218.44,218.53,3.9496329,3,
2005,MA,total,fundamental,iniciais (1-5),76.5,0.77768201,155.38,151.39,3.685648,2.9,
2005,MA,total,medio,todos (1-4),73.3,0.77918202,239.89,231.66,3.5268641,2.7,
2005,MG,estadual,fundamental,finais (6-9),75.1,0.75032097,251.63,234.55,4.7696719,3.6,
2005,MG,estadual,fundamental,iniciais (1-5),91.5,0.92032099,206.91,186.8,5.3140631,4.9,
2005,MG,estadual,medio,todos (1-4),71,0.76310498,279.45,260.6,4.515718,3.4,
2005,MG,privada,fundamental,finais (6-9),94.5,0.94523197,319.92,288.73,6.811152,6.4,
2005,MG,privada,fundamental,iniciais (1-5),98.4,0.98519403,252.66,233.46,7.0305839,6.9,
2005,MG,privada,medio,todos (1-4),92.7,0.94166499,359.7,320.89,6.5453749,6.2,
2005,MG,publica,fundamental,finais (6-9),75.5,0.75516301,248.66,233.86,4.7090168,3.6,
2005,MG,publica,fundamental,iniciais (1-5),88.5,0.88848001,200.16,183.3,5.121335,4.6,
2005,MG,total,fundamental,finais (6-9),77,0.769503,254.58,238.42,4.8836021,3.8,
2005,MG,total,fundamental,iniciais (1-5),89.1,0.89583802,203.64,186.63,5.2488842,4.7,
2005,MG,total,medio,todos (1-4),73.7,0.78623301,290.38,268.7,4.7904062,3.8,
2005,MS,estadual,fundamental,finais (6-9),64.9,0.651326,236.91,234.03,4.5158448,2.9,
2005,MS,estadual,fundamental,iniciais (1-5),73.1,0.72461998,179.8,167.03,4.436501,3.2,
2005,MS,estadual,medio,todos (1-4),63,0.63970202,270.5,263.85,4.4384518,2.8,
2005,MS,privada,fundamental,finais (6-9),95.3,0.95321202,284.89,269.73,5.9104929,5.6,
2005,MS,privada,fundamental,iniciais (1-5),97.7,0.97692102,229.02,214.19,6.2293849,6.1,
2005,MS,privada,medio,todos (1-4),94.4,0.94384497,338.91,311.01,6.105382,5.8,
2005,MS,publica,fundamental,finais (6-9),67.8,0.68432498,239.53,235.91,4.590735,3.1,
2005,MS,publica,fundamental,iniciais (1-5),75.3,0.76328403,178.83,166.41,4.4067092,3.4,
2005,MS,total,fundamental,finais (6-9),70.3,0.70793402,244.88,239.89,4.7465949,3.4,
2005,MS,total,fundamental,iniciais (1-5),77.2,0.77925199,183.39,170.77,4.5731139,3.6,
2005,MS,total,medio,todos (1-4),67.8,0.68518198,283.13,272.55,4.746284,3.3,
2005,MT,estadual,fundamental,finais (6-9),69.3,0.69230998,228.05,221.22,4.1547799,2.9,
2005,MT,estadual,fundamental,iniciais (1-5),82.2,0.82231098,175.82,164.91,4.3217931,3.6,
2005,MT,estadual,medio,todos (1-4),63.8,0.645356,254.5,249.63,4.0010929,2.6,
2005,MT,privada,fundamental,finais (6-9),93.7,0.93698299,276.23,254.5,5.5126529,5.2,
2005,MT,privada,fundamental,iniciais (1-5),93.9,0.93889499,220.33,200.33,5.8112512,5.5,
2005,MT,privada,medio,todos (1-4),92.4,0.94204998,319.95,293.64,5.5792122,5.3,
2005,MT,publica,fundamental,finais (6-9),71,0.710765,227.67,222.08,4.1629481,3,
2005,MT,publica,fundamental,iniciais (1-5),81.6,0.822308,173.07,163.92,4.2513981,3.5,
2005,MT,total,fundamental,finais (6-9),72.4,0.72501302,231.61,224.72,4.2723551,3.1,
2005,MT,total,fundamental,iniciais (1-5),82.4,0.82898003,176.36,166.46,4.3601689,3.6,
2005,MT,total,medio,todos (1-4),66.8,0.73371601,263.55,255.72,4.2195768,3.1,
2005,PA,estadual,fundamental,finais (6-9),74.1,0.74439001,225.25,228.58,4.2306051,3.1,
2005,PA,estadual,fundamental,iniciais (1-5),70.1,0.69467503,161.97,161,3.985929,2.8,
2005,PA,estadual,medio,todos (1-4),67.7,0.72543299,241.96,236.91,3.6344581,2.6,
2005,PA,privada,fundamental,finais (6-9),95.1,0.95066398,267.14,264.92,5.5345178,5.3,
2005,PA,privada,fundamental,iniciais (1-5),96.2,0.96294498,209.97,203.19,5.6656318,5.5,
2005,PA,privada,medio,todos (1-4),91.2,0.91105199,310.23,300.26,5.5417552,5,
2005,PA,publica,fundamental,finais (6-9),74,0.74729198,226.36,227.69,4.2343931,3.2,
2005,PA,publica,fundamental,iniciais (1-5),65.1,0.68387401,160.86,156.3,3.8795159,2.7,
2005,PA,total,fundamental,finais (6-9),75.3,0.76024097,230.6,231.55,4.3692532,3.3,
2005,PA,total,fundamental,iniciais (1-5),66.2,0.69325203,163.53,158.85,3.9768059,2.8,
2005,PA,total,medio,todos (1-4),69.4,0.74079299,248.69,243.16,3.8228021,2.8,
2005,PB,estadual,fundamental,finais (6-9),64.4,0.64576697,218.11,216.91,3.917037,2.5,
2005,PB,estadual,fundamental,iniciais (1-5),74,0.75672501,165.83,156.91,3.9852631,3,
2005,PB,estadual,medio,todos (1-4),69.1,0.74552202,242.44,229.66,3.5325899,2.6,
2005,PB,privada,fundamental,finais (6-9),93.4,0.93399501,274.95,254.03,5.483068,5.1,
2005,PB,privada,fundamental,iniciais (1-5),97.7,0.97724301,209.55,197.69,5.5579319,5.4,
2005,PB,privada,medio,todos (1-4),93.4,0.94137698,306.7,286.54,5.2867532,5,
2005,PB,publica,fundamental,finais (6-9),64.1,0.649665,217.55,215.14,3.878557,2.5,
2005,PB,publica,fundamental,iniciais (1-5),68.5,0.710702,162.44,153.11,3.851789,2.7,
2005,PB,total,fundamental,finais (6-9),66.8,0.67523801,224.03,219.53,4.0595779,2.7,
2005,PB,total,fundamental,iniciais (1-5),71.1,0.73475802,168.33,158.67,4.065208,3,
2005,PB,total,medio,todos (1-4),73,0.77743798,253.58,239.52,3.836726,3,
2005,PE,estadual,fundamental,finais (6-9),62,0.62282199,216.02,210.82,3.780827,2.4,
2005,PE,estadual,fundamental,iniciais (1-5),80.7,0.80694801,162.71,151.47,3.8268459,3.1,
2005,PE,estadual,medio,todos (1-4),68.1,0.726852,242.99,240.17,3.697813,2.7,
2005,PE,privada,fundamental,finais (6-9),92.7,0.92691201,285.02,266.17,5.853303,5.4,
2005,PE,privada,fundamental,iniciais (1-5),96.2,0.93818599,217.55,204.38,5.8317442,5.5,
2005,PE,privada,medio,todos (1-4),93.2,0.94856602,315.67,298.88,5.5973659,5.3,
2005,PE,publica,fundamental,finais (6-9),63.9,0.64420998,214.66,206.86,3.6921279,2.4,
2005,PE,publica,fundamental,iniciais (1-5),73.6,0.75716603,158.25,151.44,3.7412939,2.8,
2005,PE,total,fundamental,finais (6-9),67.4,0.67844898,225.3,215.85,4.0192852,2.7,
2005,PE,total,fundamental,iniciais (1-5),76.7,0.78489798,167.72,159.89,4.0758381,3.2,
2005,PE,total,medio,todos (1-4),71.5,0.75601298,255.41,250.16,4.0219202,3,
2005,PI,estadual,fundamental,finais (6-9),67.9,0.68309599,217.55,214.67,3.870553,2.6,
2005,PI,estadual,fundamental,iniciais (1-5),68.2,0.69335198,159.25,148.38,3.704344,2.6,
2005,PI,estadual,medio,todos (1-4),66.5,0.65011901,239.75,234.25,3.5638349,2.3,
2005,PI,privada,fundamental,finais (6-9),90,0.90024,283.14,272.1,5.9209471,5.3,
2005,PI,privada,fundamental,iniciais (1-5),96.2,0.945728,212.27,204.58,5.7349072,5.4,
2005,PI,privada,medio,todos (1-4),85.5,0.87691802,343.33,314.17,6.2148819,5.4,
2005,PI,publica,fundamental,finais (6-9),71.4,0.72541201,218.13,211,3.8189051,2.8,
2005,PI,publica,fundamental,iniciais (1-5),69.9,0.71911901,152.41,151.64,3.633383,2.6,
2005,PI,total,fundamental,finais (6-9),73.2,0.74098599,228.33,220.6,4.1489482,3.1,
2005,PI,total,fundamental,iniciais (1-5),71.7,0.73437399,157.66,156.3,3.8183129,2.8,
2005,PI,total,medio,todos (1-4),69.1,0.71741802,260.48,250.38,4.0962162,2.9,
2005,PR,estadual,fundamental,finais (6-9),75.7,0.75985003,238.13,223.11,4.3539729,3.3,
2005,PR,estadual,fundamental,iniciais (1-5),91,0.91080201,208.33,193.75,5.467617,5,
2005,PR,estadual,medio,todos (1-4),70.7,0.74616301,273.5,259.23,4.4117732,3.3,
2005,PR,privada,fundamental,finais (6-9),96.3,0.963718,299.58,284.42,6.4003682,6.2,
2005,PR,privada,fundamental,iniciais (1-5),97.9,0.97870803,239.07,223.77,6.5951571,6.5,
2005,PR,privada,medio,todos (1-4),94.9,0.95362902,341.69,307.54,6.0923491,5.8,
2005,PR,publica,fundamental,finais (6-9),75.9,0.76180798,238.53,223.52,4.3678999,3.3,
2005,PR,publica,fundamental,iniciais (1-5),87.2,0.88664001,198.6,179.11,5.0154562,4.4,
2005,PR,total,fundamental,finais (6-9),77.6,0.77838397,245.02,230,4.583982,3.6,
2005,PR,total,fundamental,iniciais (1-5),88.1,0.89445603,201.96,182.82,5.1470842,4.6,
2005,PR,total,medio,todos (1-4),73.7,0.77041101,284.76,267.16,4.6885171,3.6,
2005,RJ,estadual,fundamental,finais (6-9),70.7,0.70956802,220.58,223.89,4.0747671,2.9,
2005,RJ,estadual,fundamental,iniciais (1-5),81.5,0.82145101,177.94,173.75,4.5233631,3.7,
2005,RJ,estadual,medio,todos (1-4),67.2,0.72469902,251.1,241.72,3.8348811,2.8,
2005,RJ,privada,fundamental,finais (6-9),92.7,0.92671603,285.07,269.5,5.9097219,5.5,
2005,RJ,privada,fundamental,iniciais (1-5),96.9,0.96530598,220.24,206.83,5.9278889,5.7,
2005,RJ,privada,medio,todos (1-4),90.3,0.86428499,329.23,309.17,5.9420819,5.1,
2005,RJ,publica,fundamental,finais (6-9),73.3,0.73658699,232.91,228.25,4.3527651,3.2,
2005,RJ,publica,fundamental,iniciais (1-5),82.3,0.82428801,190.72,177.6,4.8373752,4,
2005,RJ,total,fundamental,finais (6-9),76.8,0.77022099,244.33,237.27,4.6937819,3.6,
2005,RJ,total,fundamental,iniciais (1-5),84.8,0.84868503,196.41,183.22,5.0484319,4.3,
2005,RJ,total,medio,todos (1-4),71.1,0.75666302,268.91,257.02,4.3141279,3.3,
2005,RN,estadual,fundamental,finais (6-9),66.5,0.67160702,218.6,211.61,3.8369451,2.6,
2005,RN,estadual,fundamental,iniciais (1-5),75.2,0.74142599,152.99,140.53,3.4422021,2.6,
2005,RN,estadual,medio,todos (1-4),68.5,0.72387898,244.94,232.69,3.613179,2.6,
2005,RN,privada,fundamental,finais (6-9),92.6,0.926489,271.16,256.91,5.467917,5.1,
2005,RN,privada,fundamental,iniciais (1-5),94.4,0.94490898,201.44,193.58,5.328372,5,
2005,RN,privada,medio,todos (1-4),91.2,0.91229898,317.32,297.85,5.605247,5.1,
2005,RN,publica,fundamental,finais (6-9),64.7,0.66136199,217.99,211.86,3.8308821,2.5,
2005,RN,publica,fundamental,iniciais (1-5),72.5,0.73158598,148.1,141.11,3.359441,2.5,
2005,RN,total,fundamental,finais (6-9),67.9,0.69132298,226.41,219,4.0904102,2.8,
2005,RN,total,fundamental,iniciais (1-5),74.9,0.757312,154.52,147.44,3.597332,2.7,
2005,RN,total,medio,todos (1-4),71.3,0.74927902,254.89,241.66,3.8874171,2.9,
2005,RO,estadual,fundamental,finais (6-9),72.8,0.732912,232.5,227.66,4.3360801,3.2,
2005,RO,estadual,fundamental,iniciais (1-5),83.7,0.83516699,171.94,166.27,4.272553,3.6,
2005,RO,estadual,medio,todos (1-4),69.5,0.70451802,265.36,252.94,4.2030249,3,
2005,RO,privada,fundamental,finais (6-9),94.2,0.94237298,296.14,274.55,6.1783228,5.8,
2005,RO,privada,fundamental,iniciais (1-5),97.4,0.97466302,217.33,205.17,5.8423891,5.7,
2005,RO,privada,medio,todos (1-4),92.1,0.92162198,312.16,291.35,5.4352722,5,
2005,RO,publica,fundamental,finais (6-9),72.5,0.73088402,231.91,226.57,4.308217,3.1,
2005,RO,publica,fundamental,iniciais (1-5),81.5,0.83207703,171.44,163.5,4.2127872,3.5,
2005,RO,total,fundamental,finais (6-9),73.8,0.74300897,240.36,232.88,4.5541482,3.4,
2005,RO,total,fundamental,iniciais (1-5),82.4,0.84091097,174.72,166.49,4.329524,3.6,
2005,RO,total,medio,todos (1-4),72,0.73372102,271.13,257.67,4.354804,3.2,
2005,RR,estadual,fundamental,finais (6-9),80.5,0.80744803,219.47,218.72,3.970108,3.2,
2005,RR,estadual,fundamental,iniciais (1-5),84.5,0.84426397,169.16,161.6,4.13445,3.5,
2005,RR,estadual,medio,todos (1-4),75.7,0.76576602,265.76,254.91,4.2382479,3.2,
2005,RR,privada,fundamental,finais (6-9),96.4,0.96352702,306.92,277.01,6.3992519,6.2,
2005,RR,privada,fundamental,iniciais (1-5),98.9,0.98896801,221.11,216.91,6.1277051,6.1,
2005,RR,privada,medio,todos (1-4),94.1,0.92592299,300.45,279.7,5.096446,4.7,
2005,RR,publica,fundamental,finais (6-9),80.4,0.80778301,219.47,218.72,3.970108,3.2,
2005,RR,publica,fundamental,iniciais (1-5),84.6,0.86740202,169.64,161.52,4.1421351,3.6,
2005,RR,total,fundamental,finais (6-9),81.1,0.813568,228.13,224.5,4.2104449,3.4,
2005,RR,total,fundamental,iniciais (1-5),85.1,0.87110299,172.13,164.21,4.2387261,3.7,
2005,RR,total,medio,todos (1-4),77.5,0.80546999,268.48,256.86,4.3057232,3.5,
2005,RS,estadual,fundamental,finais (6-9),71.9,0.72007102,253.33,239.41,4.878983,3.5,
2005,RS,estadual,fundamental,iniciais (1-5),84.4,0.831406,195.6,182.38,5.0175552,4.2,
2005,RS,estadual,medio,todos (1-4),62.1,0.68215698,300.07,276.95,5.0499058,3.4,
2005,RS,privada,fundamental,finais (6-9),95,0.950737,299.45,285.38,6.4138122,6.1,
2005,RS,privada,fundamental,iniciais (1-5),96.5,0.94359797,226.58,214.33,6.1851912,5.8,
2005,RS,privada,medio,todos (1-4),92.3,0.93944198,338.2,312.22,6.113606,5.7,
2005,RS,publica,fundamental,finais (6-9),74.2,0.74433303,252.74,239.47,4.8701172,3.6,
2005,RS,publica,fundamental,iniciais (1-5),85.2,0.86592799,187.03,177.13,4.7585459,4.1,
2005,RS,total,fundamental,finais (6-9),75.9,0.76168799,258.05,244.69,5.0459981,3.8,
2005,RS,total,fundamental,iniciais (1-5),86.1,0.87404698,190.41,180.3,4.8805699,4.3,
2005,RS,total,medio,todos (1-4),65.9,0.71612602,306.11,282.47,5.217618,3.7,
2005,SC,estadual,fundamental,finais (6-9),84,0.84275001,247.63,242.72,4.8393178,4.1,
2005,SC,estadual,fundamental,iniciais (1-5),88.9,0.88683599,188.6,179.72,4.8353081,4.3,
2005,SC,estadual,medio,todos (1-4),78.3,0.79212999,274.02,257.66,4.3953371,3.5,
2005,SC,privada,fundamental,finais (6-9),97.2,0.97221601,292.17,274.6,6.1128669,5.9,
2005,SC,privada,fundamental,iniciais (1-5),99,0.99176699,237.19,218.66,6.4663401,6.4,
2005,SC,privada,medio,todos (1-4),95.6,0.91185498,348.29,313.04,6.267539,5.7,
2005,SC,publica,fundamental,finais (6-9),84.9,0.85192102,247.52,242.55,4.8348451,4.1,
2005,SC,publica,fundamental,iniciais (1-5),89.6,0.90914297,186.17,176.17,4.7246141,4.3,
2005,SC,total,fundamental,finais (6-9),86,0.86214203,252.47,246.1,4.976275,4.3,
2005,SC,total,fundamental,iniciais (1-5),90.3,0.915447,189.97,179.33,4.8546591,4.4,
2005,SC,total,medio,todos (1-4),80.8,0.810651,286.54,266.98,4.71099,3.8,
2005,SE,estadual,fundamental,finais (6-9),66.1,0.663975,234,225.41,4.3237829,2.9,
2005,SE,estadual,fundamental,iniciais (1-5),73,0.72750902,169.88,162.38,4.162611,3,
2005,SE,estadual,medio,todos (1-4),65.9,0.71693701,254.66,247.02,3.964231,2.8,
2005,SE,privada,fundamental,finais (6-9),91.6,0.91648,298.41,276.23,6.2440829,5.7,
2005,SE,privada,fundamental,iniciais (1-5),95.9,0.95986998,209.85,194.33,5.5020261,5.3,
2005,SE,privada,medio,todos (1-4),88.6,0.90503901,336.11,313.52,6.1037979,5.5,
2005,SE,publica,fundamental,finais (6-9),63.6,0.64525402,231.19,223.74,4.2488818,2.7,
2005,SE,publica,fundamental,iniciais (1-5),65.7,0.693726,169.16,157.82,4.0654769,2.8,
2005,SE,total,fundamental,finais (6-9),66.4,0.67276001,240.66,231.13,4.5302682,3,
2005,SE,total,fundamental,iniciais (1-5),68.3,0.715774,172.8,161.08,4.19449,3,
2005,SE,total,medio,todos (1-4),68.9,0.74196601,271.2,260.17,4.3933911,3.3,
2005,SP,estadual,fundamental,finais (6-9),88.2,0.87961799,230.22,228.44,4.311223,3.8,
2005,SP,estadual,fundamental,iniciais (1-5),95.7,0.95781702,182.78,177.86,4.6904812,4.5,
2005,SP,estadual,medio,todos (1-4),76.7,0.78956503,261.8,253.63,4.163662,3.3,
2005,SP,privada,fundamental,finais (6-9),97,0.969989,305.36,285.77,6.5192871,6.3,
